TimeStamp,Open,High,Low,Close,Volume,DataTime,ema7,ema25,ema50,ema144,ema169,dif,dea,macd,ao
1678791300000,24451.4,24636.8,24439.8,24571.5,12141.932,2023-03-14 18:55:00,24437.758004633946,24336.317432917138,24310.081008684167,24210.759584894695,24155.120247252235,58.29248615695906,31.718391653727107,26.57409450323195,162.34764705881753
1678791600000,24571.2,24650.0,24450.0,24548.0,9882.401,2023-03-14 19:00:00,24465.31850347546,24352.600707308127,24319.411165206355,24215.411176827183,24159.742361990444,66.3923050935191,38.65317434168551,27.739130751833592,188.6364705882297
1678791900000,24548.0,24600.6,24526.3,24580.2,4237.445,2023-03-14 19:05:00,24494.038877606596,24370.108345207504,24329.638178335517,24220.442746801982,24164.688922437614,74.55037058406015,45.832613590160435,28.717756993899712,216.5294117646954
1678792200000,24580.1,24686.6,24551.1,24674.6,6121.803,2023-03-14 19:10:00,24539.179158204948,24393.53078019154,24343.166092910596,24226.706984777127,24170.68787629129,87.62292479363896,54.19067583085614,33.43224896278282,250.0135294117572
1678792500000,24674.7,24844.4,24668.5,24703.3,17445.561,2023-03-14 19:15:00,24580.209368653712,24417.359181715266,24357.28899122783,24233.28068153882,24176.953901276098,99.15586128498035,63.18371292168098,35.97214836329937,287.19647058822375
1678792800000,24703.3,24780.0,24642.8,24737.6,8431.779,2023-03-14 19:20:00,24619.557026490285,24441.993090814092,24372.203148434583,24240.23681006932,24183.54973773167,109.79783874930581,72.50653808720594,37.29130066209987,306.65470588234166
1678793100000,24737.9,24784.0,24576.7,24633.2,7110.783,2023-03-14 19:25:00,24622.967769867715,24456.701314597623,24382.438319084205,24245.6569919994,24188.83974081718,108.55610783105294,79.71645203597534,28.839655795077604,312.48588235292846
1678793400000,24633.1,24699.9,24591.2,24597.0,5706.262,2023-03-14 19:30:00,24616.475827400787,24467.493521167038,24390.85250264953,24250.503102454582,24193.64162621933,103.45838579730844,84.46483878824196,18.993547009066475,305.0223529411669
1678793700000,24596.9,24700.0,24548.9,24682.1,6247.115,2023-03-14 19:35:00,24632.88187055059,24484.001711846497,24402.273973133862,24256.456163110382,24199.388195322634,105.07403507802155,88.58667804619787,16.487357031823677,293.28117647058025
1678794000000,24682.2,24750.0,24660.0,24728.9,3745.192,2023-03-14 19:40:00,24656.886402912944,24502.840041704458,24415.082836932535,24262.9726298261,24205.617745965897,108.87576559621084,92.64449555620047,16.231270040010372,284.18941176469525
1678794300000,24729.0,24729.0,24660.0,24666.6,3129.558,2023-03-14 19:45:00,24659.31480218471,24515.436961573345,24424.946255092043,24268.539903897465,24211.041066601592,105.6437793572295,95.24435231640628,10.399427040823227,257.29529411763724
1678794600000,24666.6,24757.0,24650.0,24741.7,3408.378,2023-03-14 19:50:00,24679.911101638532,24532.841810683087,24437.36797057863,24275.066250050604,24217.284112876867,107.89856188387057,97.77519422989914,10.123367653971428,263.6688235294023
1678794900000,24742.0,24760.2,24717.2,24747.3,2999.235,2023-03-14 19:55:00,24696.758326228897,24549.338594476696,24449.522167810843,24281.579819015424,24223.519593901845,108.88223979637769,99.99660334319485,8.88563645318284,277.9641176470541
1678795200000,24747.4,24908.6,24681.0,24737.9,13554.957,2023-03-14 20:00:00,24707.043744671675,24563.843317978488,24460.831102406497,24287.87389047728,24229.571128091236,107.66224682416942,101.52973203938976,6.132514784779659,274.5329411764651
1678795500000,24737.8,24847.7,24703.4,24735.6,6836.039,2023-03-14 20:05:00,24714.182808503756,24577.05537044168,24471.606353292518,24294.04942302242,24235.52440893722,105.29601589922822,102.28298881135746,3.0130270878707677,260.4405882352912
1678795800000,24735.6,24788.4,24700.0,24700.6,3812.923,2023-03-14 20:10:00,24710.787106377815,24586.55880348463,24480.586496300653,24299.65701718763,24240.995886479137,99.45015388225875,101.71642182553771,-2.2662679432789616,253.0699999999997
1678796100000,24700.6,24727.1,24617.5,24660.9,6733.609,2023-03-14 20:15:00,24698.315329783363,24592.277357062736,24487.657614092786,24304.639679019525,24245.9359348735,90.56977590449605,99.48709264132938,-8.917316736833328,222.76882352941175
1678796400000,24660.9,24730.7,24660.9,24707.9,2968.897,2023-03-14 20:20:00,24700.71149733752,24601.17140651945,24496.29457040287,24310.201890343393,24251.37080622793,86.32936836175213,96.85554778541393,-10.526179423661802,200.07705882353184
1678796700000,24707.9,24780.8,24635.6,24642.8,6860.747,2023-03-14 20:25:00,24686.23362300314,24604.373606017954,24502.039881367466,24314.789450476586,24255.975855566423,76.83013888111964,92.85046600455507,-16.020327123435436,168.5276470588251
1678797000000,24641.8,25500.0,24405.0,25142.5,67220.305,2023-03-14 20:30:00,24800.300217252356,24645.767944016574,24527.155964451093,24326.206147711393,24266.40555138329,108.37427374522667,95.9552275526894,12.41904619253728,222.9458823529494
1678797300000,25142.4,25180.0,24714.8,25094.3,33880.047,2023-03-14 20:35:00,24873.800162939267,24680.270409861452,24549.396907021637,24336.800545673996,24276.1454860729,128.00829081829943,102.3658402058114,25.642450612488034,276.95058823530053
1678797600000,25092.5,25650.0,24955.0,25522.6,28988.323,2023-03-14 20:40:00,25036.000122204452,24745.064993718264,24587.561734197257,24353.156400216423,24290.809656824982,176.09866555283588,117.11240527521629,58.98626027761959,412.64352941177276
1678797900000,25522.1,25970.0,25394.6,25777.7,45828.306,2023-03-14 20:45:00,25221.42509165334,24824.498455739937,24634.233823052266,24372.805277454816,24308.30248439175,232.1193447260157,140.11379316537617,92.00555156063953,582.5770588235391
