TimeStamp,Open,High,Low,Close,Volume,DataTime,ema7,ema25,ema50,ema144,ema169,dif,dea,macd,ao
1678742100000,24220.4,24232.6,24167.2,24171.1,1043.653,2023-03-14 05:15:00,24193.393105539733,24195.87814364886,24153.962970014683,,,0.010345102145947749,3.3488249491893782,-3.3384798470434305,-27.859411764715333
1678742400000,24171.2,24206.9,24171.1,24175.1,822.775,2023-03-14 05:20:00,24188.8198291548,24194.27982490664,24154.791873151364,,,-1.5752817609500198,2.3640036071614987,-3.9392853681115185,-24.631176470593346
1678742700000,24175.0,24189.5,24067.1,24095.2,2415.549,2023-03-14 05:25:00,24165.4148718661,24186.658299913823,24152.45493694935,,,-9.17341925470464,0.056519034788270694,-9.22993828949291,-42.37058823529878
1678743000000,24095.2,24130.8,24055.5,24093.6,2063.178,2023-03-14 05:30:00,24147.461153899574,24179.49996915122,24150.14690020624,,,-15.149470917847793,-2.984678955738942,-12.16479196210885,-68.28411764706107
1678743300000,24093.6,24128.7,24093.5,24100.8,1019.377,2023-03-14 05:35:00,24135.79586542468,24173.446125370356,24148.211727649134,,,-19.084560159139073,-6.204655196418968,-12.879904962720104,-88.42235294118291
1678743600000,24100.8,24130.4,24082.3,24118.0,830.249,2023-03-14 05:40:00,24131.34689906851,24169.181038803406,24147.026954015833,,,-20.57803964836421,-9.079332086808016,-11.498707561556195,-93.5923529411848
1678743900000,24118.0,24181.2,24118.0,24137.6,1617.461,2023-03-14 05:45:00,24132.91017430138,24166.751728126223,24146.657269544623,,,-19.95010432341951,-11.253486534130314,-8.696617789289196,-96.5717647058882
1678744200000,24137.6,24160.8,24119.4,24142.9,878.31,2023-03-14 05:50:00,24135.407630726037,24164.916979808822,24146.509925640912,,,-18.807988563723484,-12.764386940048947,-6.043601623674537,-81.70235294118174
1678744500000,24142.9,24143.5,24080.0,24096.6,1084.028,2023-03-14 05:55:00,24125.705723044528,24159.661827515836,24144.552673654995,,,-21.392279765514104,-14.489965505141978,-6.902314260372126,-75.07294117647689
1678744800000,24096.6,24150.0,24096.5,24139.8,1328.864,2023-03-14 06:00:00,24129.229292283395,24158.133994630003,24144.366294295975,,,-19.727068829415657,-15.537386169996713,-4.189682659418944,-61.86117647059291
1678745100000,24139.8,24164.0,24126.7,24151.3,1346.312,2023-03-14 06:05:00,24134.746969212545,24157.60830273539,24144.638204323583,,,-17.280227568033297,-15.88595444960403,-1.3942731184292665,-51.76000000000204
1678745400000,24151.3,24240.0,24146.7,24218.8,2438.582,2023-03-14 06:10:00,24155.76022690941,24162.315356371128,24147.546510036384,,,-9.781645638824557,-14.665092687448135,4.883447048623578,-35.53764705882713
1678745700000,24218.7,24245.0,24191.3,24209.5,1450.751,2023-03-14 06:15:00,24169.195170182058,24165.94494434258,24149.976058662407,,,-4.537096883592312,-12.63949352667697,8.102396643084658,-22.800000000010186
1678746000000,24209.6,24249.8,24198.4,24227.1,1449.572,2023-03-14 06:20:00,24183.671377636543,24170.64917939315,24153.000526950156,,,1.0275734731694683,-9.906080126707682,10.93365359987715,3.1588235294075275
1678746300000,24227.1,24236.0,24201.9,24216.2,1003.228,2023-03-14 06:25:00,24191.80353322741,24174.1530886706,24155.478937657994,,,4.50613203219109,-7.0236376949279276,11.529769727119017,18.441764705879905
1678746600000,24216.1,24229.1,24171.6,24187.6,1345.376,2023-03-14 06:30:00,24190.752649920556,24175.18746646517,24156.738587161602,,,4.898665011114645,-4.639177153719412,9.537842164834057,29.134117647055973
1678746900000,24187.5,24217.4,24168.2,24179.7,792.862,2023-03-14 06:35:00,24187.989487440416,24175.534584429388,24157.639034723892,,,4.520180421826808,-2.8073056386101682,7.327486060436977,24.469999999993888
1678747200000,24179.6,24200.0,24171.6,24195.9,738.395,2023-03-14 06:40:00,24189.96711558031,24177.101154857897,24159.13946473472,,,5.464442576409056,-1.1529559956063233,6.617398572015379,23.414705882347334
1678747500000,24195.9,24196.0,24126.6,24129.0,1055.448,2023-03-14 06:45:00,24174.725336685235,24173.401066022674,24157.9575249412,,,0.8052241211516957,-0.7613199722547195,1.5665440934064152,9.253529411758791
1678747800000,24129.0,24175.8,24107.2,24169.2,1548.828,2023-03-14 06:50:00,24173.344002513928,24173.077907097853,24158.398406316057,,,0.35250055510914535,-0.5385558667819466,0.8910564218910919,3.159411764700053
1678748100000,24169.1,24228.0,24169.1,24216.1,2289.108,2023-03-14 06:55:00,24184.033001885444,24176.387298859558,24160.661213911506,,,3.735096045475075,0.31617451566945776,3.4189215298056173,9.22411764705248
1678748400000,24216.1,24230.0,24175.2,24183.6,1007.144,2023-03-14 07:00:00,24183.92475141408,24176.942122024207,24161.56077415027,,,3.7501199077778438,1.002963594091135,2.747156313686709,9.848235294113692
1678748700000,24183.7,24210.1,24145.9,24153.4,988.825,2023-03-14 07:05:00,24176.29356356056,24175.13118956081,24161.240743791437,,,1.3100375217472902,1.064378379622366,0.24565914212492412,3.2541176470513165
1678749000000,24153.5,24188.9,24148.3,24169.9,697.426,2023-03-14 07:10:00,24174.69517267042,24174.728790363824,24161.58032246628,,,0.6996021763188764,0.9914231389616681,-0.29182096264279167,11.216470588224183
1678749300000,24170.0,24179.6,23935.7,23967.5,5024.514,2023-03-14 07:15:00,24122.896379502818,24158.788114181993,24153.96932942839,,,-15.932500754446664,-2.3933616397199984,-13.539139114726666,-23.99411764706747
1678749600000,23967.0,24069.8,23946.2,24000.0,6083.163,2023-03-14 07:20:00,24092.172284627115,24146.5736438603,24147.93131650963,,,-26.189191076220595,-7.152527527020118,-19.036663549200476,-63.26411764706427
1678749900000,23999.9,24054.0,23965.6,24053.9,2591.118,2023-03-14 07:25:00,24082.60421347034,24139.444902024894,24144.24381390141,,,-29.626892142270663,-11.647400450070228,-17.979491692200433,-86.05411764706878
1678750200000,24053.9,24062.4,23940.0,24012.4,3487.495,2023-03-14 07:30:00,24065.053160102754,24129.67221725375,24139.073468258215,,,-35.29316058840777,-16.376552477737736,-18.916608110670037,-108.19823529412315
1678750500000,24012.4,24062.5,23998.0,23999.9,1743.006,2023-03-14 07:35:00,24048.764870077066,24119.68973900346,24133.615685189267,,,-40.32749443551438,-21.166740869293065,-19.160753566221317,-136.8188235294183
1678750800000,24000.0,24077.4,24000.0,24071.0,1678.761,2023-03-14 07:40:00,24054.3236525578,24115.944374464732,24131.16016812302,,,-38.140405632701004,-24.56147382197465,-13.578931810726353,-113.63941176471417
1678751100000,24070.9,24097.0,24030.8,24085.0,1544.057,2023-03-14 07:45:00,24061.99273941835,24113.564037967444,24129.34996545153,,,-34.87541690533544,-26.62426243864681,-8.251154466688632,-94.42176470589038
1678751400000,24085.1,24112.0,24046.6,24056.8,1389.579,2023-03-14 07:50:00,24060.694554563765,24109.19757350841,24126.504868767155,,,-34.169509305203974,-28.133311811958244,-6.03619749324573,-89.92411764706412
1678751700000,24056.7,24139.5,24054.3,24119.5,1710.066,2023-03-14 07:55:00,24075.395915922825,24109.990067853916,24126.230168031187,,,-28.225342275982257,-28.151717904763046,-0.07362437121921062,-64.86294117647776
1678752000000,24119.5,24163.6,24073.0,24073.1,3313.866,2023-03-14 08:00:00,24074.82193694212,24107.15237032669,24124.146632029962,,,-26.947999534841074,-27.910974230778653,0.9629746959375787,-45.893529411765485
1678752300000,24073.0,24105.0,24020.1,24055.3,2170.082,2023-03-14 08:05:00,24069.94145270659,24103.163726455405,24121.44676410722,,,-27.060075740104367,-27.740794532643797,0.6807187925394302,-45.62764705882728
1678752600000,24055.4,24112.3,23990.0,24016.9,2579.69,2023-03-14 08:10:00,24056.681089529942,24096.528055189603,24117.346891004974,,,-29.90275566456694,-28.173186759028425,-1.729568905538514,-54.5947058823549
1678752900000,24016.9,24142.3,24000.9,24100.2,4154.476,2023-03-14 08:15:00,24067.560817147456,24096.81051248271,24116.67446390674,,,-25.144140156215144,-27.56737743846577,2.423237282250625,-46.06176470588616
1678753200000,24100.2,24146.0,24084.3,24118.2,1462.598,2023-03-14 08:20:00,24080.22061286059,24098.45585767635,24116.734288851574,,,-19.69343979889163,-25.99258991055094,6.2991501116593085,-47.04529411765179
1678753500000,24118.2,24162.0,24096.7,24128.3,1701.372,2023-03-14 08:25:00,24092.240459645443,24100.751560932014,24117.18784615151,,,-14.392823395872256,-23.672636607615203,9.279813211742947,-36.8141176470599
1678753800000,24128.4,24189.6,24113.6,24131.5,1886.205,2023-03-14 08:30:00,24102.055344734083,24103.116825475707,24117.749107086747,,,-9.820627371900628,-20.90223476047229,11.081607388571662,-21.971176470589853
1678754100000,24131.4,24131.4,24093.0,24120.6,1763.197,2023-03-14 08:35:00,24106.69150855056,24104.4616850545,24117.860906808837,,,-6.996022197883576,-18.120992247954547,11.12497005007097,-0.7311764705882524
1678754400000,24120.6,24145.0,24092.5,24123.6,1408.218,2023-03-14 08:40:00,24110.91863141292,24105.93386312723,24118.085969286924,,,-4.46396945815286,-15.38958768999421,10.92561823184135,4.516470588238008
1678754700000,24123.6,24249.5,24106.3,24233.0,4120.396,2023-03-14 08:45:00,24141.43897355969,24115.70818134821,24122.592401863905,,,6.297769519791473,-11.052116248037073,17.349885767828546,23.464705882353883
1678755000000,24233.0,24250.0,24179.5,24234.2,2183.918,2023-03-14 08:50:00,24164.62923016977,24124.822936629116,24126.969170418262,,,14.753288439605967,-5.891035310508465,20.64432375011443,41.868235294121405
1678755300000,24234.2,24242.7,24128.2,24172.6,2578.289,2023-03-14 08:55:00,24166.621922627324,24128.498095349954,24128.758614715585,,,16.2958939928576,-1.4536494498352521,17.749543442692854,49.46176470588398
1678755600000,24172.6,24186.7,24117.3,24150.1,2185.408,2023-03-14 09:00:00,24162.491441970495,24130.159780323036,24129.595531785562,,,15.523908098763059,1.9418620598844107,13.582046038878648,57.382352941182035
1678755900000,24150.1,24203.6,24150.1,24185.1,1398.292,2023-03-14 09:05:00,24168.14358147787,24134.38595106742,24131.772177597893,,,17.534188003974123,5.060327248702354,12.473860755271769,70.4000000000051
1678756200000,24185.1,24208.0,24139.0,24150.6,1289.469,2023-03-14 09:10:00,24163.7576861084,24135.633185600695,24132.510523574445,,,16.157237069266557,7.279709212815195,8.877527856451362,56.17000000000553
1678756500000,24150.6,24200.0,24144.3,24192.3,1023.351,2023-03-14 09:15:00,24170.8932645813,24139.992171323716,24134.855208924466,,,18.220797025613138,9.467926775374783,8.752870250238354,48.49294117647878
1678756800000,24192.2,24288.8,24191.0,24228.0,3002.487,2023-03-14 09:20:00,24185.169948435974,24146.762004298816,24138.507945829388,,,22.477765116476803,12.069894443595187,10.407870672881616,58.384705882355775
1678757100000,24228.0,24300.0,24206.0,24294.5,2419.934,2023-03-14 09:25:00,24212.50246132698,24158.1264655066,24144.62528128706,,,30.861682964114152,15.82825214769898,15.033430816415173,83.8882352941182
1678757400000,24294.5,24296.4,24251.0,24260.3,1800.451,2023-03-14 09:30:00,24224.451845995238,24165.985968159937,24149.161544765997,,,34.35037434942933,19.53267658804505,14.81769776138428,97.03411764705743
1678757700000,24260.4,24290.1,24214.0,24259.8,1590.883,2023-03-14 09:35:00,24233.28888449643,24173.202432147635,24153.50030771635,,,36.65233626840927,22.956608524117893,13.695727744291379,115.02705882353257
1678758000000,24259.8,24261.6,24180.0,24217.2,3102.515,2023-03-14 09:40:00,24229.26666337232,24176.58686044397,24155.99833486473,,,34.63988664632052,25.293264148558418,9.346622497762102,118.59529411764379
1678758300000,24217.2,24340.8,24207.2,24303.9,4428.163,2023-03-14 09:45:00,24247.92499752924,24186.380178871357,24161.798400164153,,,39.584663875211845,28.151544093889104,11.433119781322741,131.19294117647223
1678758600000,24303.8,24376.4,24285.7,24344.7,3551.702,2023-03-14 09:50:00,24272.11874814693,24198.558626650483,24168.971011922422,,,46.262370662800095,31.7737094076713,14.488661255128793,136.49470588235272
1678758900000,24344.8,24450.0,24328.0,24407.3,5372.477,2023-03-14 09:55:00,24305.914061110198,24214.61565536968,24178.317246748993,,,55.960717910482344,36.61111110823351,19.349606802248836,158.4270588235304
1678759200000,24407.2,24507.0,24376.2,24452.7,10011.987,2023-03-14 10:00:00,24342.61054583265,24232.929835725856,24189.077354719622,,,66.543061561395,42.59750119886581,23.9455603625292,188.68941176470616
1678759500000,24452.8,24457.5,24326.9,24354.6,4860.143,2023-03-14 10:05:00,24345.607909374485,24242.28907913156,24195.568438848266,,,66.25010503078374,47.32802196524939,18.922083065534352,204.78411764706107
1678759800000,24354.6,24360.2,24309.5,24322.7,1993.287,2023-03-14 10:10:00,24339.880932030865,24248.474534582976,24200.55399026598,,,62.72086438678889,50.40659044955729,12.314273937231597,199.0529411764728
1678760100000,24322.6,24365.0,24318.5,24336.2,1450.194,2023-03-14 10:15:00,24338.960699023148,24255.222647307364,24205.8734416281,,,60.317945199767564,52.38886139959935,7.929083800168215,189.0500000000102
1678760400000,24336.2,24376.6,24325.8,24359.9,1194.112,2023-03-14 10:20:00,24344.19552426736,24263.274751360645,24211.913698819157,,,59.63853050680336,53.83879522104015,5.799735285763212,169.34941176470966
1678760700000,24360.0,24363.6,24253.7,24289.1,2848.686,2023-03-14 10:25:00,24330.42164320052,24265.261308948287,24214.940612590955,,,52.77872092676989,53.626780362186096,-0.8480594354162037,128.1235294117687
1678761000000,24288.9,24309.7,24256.0,24303.9,1616.489,2023-03-14 10:30:00,24323.791232400392,24268.233515952266,24218.42921601876,,,47.9833861170373,52.498101513156335,-4.514715396119037,111.13352941176709
1678761300000,24303.9,24312.5,24263.3,24279.3,1411.217,2023-03-14 10:35:00,24312.668424300293,24269.08478395594,24220.816305586653,,,41.71714504254851,50.34191021903477,-8.624765176486264,96.73882352941655
1678761600000,24279.2,24287.1,24252.0,24270.1,1049.312,2023-03-14 10:40:00,24302.02631822522,24269.16287749779,24222.748999485215,,,35.59838471304829,47.393205117837475,-11.794820404789185,77.24529411765252
1678761900000,24270.1,24290.5,24265.4,24271.5,616.097,2023-03-14 10:45:00,24294.394738668914,24269.342656151806,24224.66080342697,,,30.510485483802768,44.016661191030536,-13.506175707227769,55.09470588235854
1678762200000,24271.5,24298.1,24263.8,24287.6,903.543,2023-03-14 10:50:00,24292.696054001684,24270.747067217053,24227.12900721415,,,27.460872292984277,40.70550341142128,-13.244631118437006,48.485882352946646
1678762500000,24287.7,24289.9,24270.0,24276.2,539.366,2023-03-14 10:55:00,24288.57204050126,24271.166523584972,24229.053359872418,,,23.849228086011863,37.3342483463394,-13.485020260327538,36.448823529419315
1678762800000,24276.2,24283.9,24240.7,24244.4,1317.99,2023-03-14 11:00:00,24277.529030375947,24269.10756023228,24229.655188897028,,,18.211054099512694,33.50960949697406,-15.298555397461364,22.777647058832372
1678763100000,24244.5,24266.6,24220.0,24236.6,1190.301,2023-03-14 11:05:00,24267.29677278196,24266.60697867595,24229.927534430477,,,12.963925715794176,29.40047274073808,-16.436547024943906,12.065882352948393
1678763400000,24236.6,24270.0,24234.4,24258.5,779.722,2023-03-14 11:10:00,24265.09757958647,24265.983364931646,24231.04802327634,,,10.45219919617739,25.610818031825943,-15.158618835648554,5.33941176470762
1678763700000,24258.5,24295.0,24255.9,24284.7,968.019,2023-03-14 11:15:00,24269.99818468985,24267.42310609075,24233.15202236354,,,10.45523740221688,22.57970190590413,-12.12446450368725,0.15941176471096696
1678764000000,24284.8,24308.9,24277.0,24295.2,1213.173,2023-03-14 11:20:00,24276.29863851739,24269.559790237618,24235.5852763885,,,11.176076596097118,20.29897684394273,-9.12290024784561,-0.8552941176385502
1678764300000,24295.2,24345.0,24293.2,24338.5,1244.409,2023-03-14 11:25:00,24291.848978888043,24274.862883296264,24239.62114790268,,,15.067605006162921,19.252702476386766,-4.185097470223845,11.555882352942717
1678764600000,24338.5,24383.0,24317.0,24354.7,2026.564,2023-03-14 11:30:00,24307.561734166033,24281.00419996578,24244.134044063358,,,19.237120370104094,19.24958605513023,-0.012465685026135986,28.378823529415968
1678764900000,24354.6,24410.2,24346.4,24405.2,1738.289,2023-03-14 11:35:00,24331.971300624526,24290.557723045335,24250.450356060872,,,26.31309827210862,20.662288498525907,5.650809773582711,52.654117647063686
1678765200000,24405.2,24414.4,24380.0,24390.6,1591.508,2023-03-14 11:40:00,24346.628475468395,24298.253282811078,24255.94642052907,,,30.392418870291294,22.608314572878985,7.784104297412309,69.23411764705816
1678765500000,24390.5,24397.9,24358.2,24362.6,1090.993,2023-03-14 11:45:00,24350.621356601296,24303.20303028715,24260.128913841658,,,31.008497186587192,24.288351095620627,6.720146090966566,77.12588235294243
1678765800000,24362.5,24366.3,24340.2,24366.2,814.046,2023-03-14 11:50:00,24354.516017450973,24308.048951034292,24264.28856427924,,,31.424985927998932,25.715678062096288,5.709307865902645,76.31000000000131
1678766100000,24366.1,24392.0,24353.1,24379.9,852.304,2023-03-14 11:55:00,24360.86201308823,24313.575954800886,24268.82234607221,,,32.486052766107605,27.06975300289855,5.416299763209054,75.6205882352915
1678766400000,24379.9,24387.0,24358.5,24361.9,1100.265,2023-03-14 12:00:00,24361.121509816174,24317.293189046974,24272.472450147812,,,31.511264074983046,27.95805521731545,3.5532088576675953,60.74588235294141
1678766700000,24361.9,24364.1,24325.0,24349.0,1112.469,2023-03-14 12:05:00,24358.09113236213,24319.732174504898,24275.47353053417,,,29.35937818792081,28.238319811436522,1.1210583764842887,47.817058823529806
1678767000000,24348.9,24387.5,24346.9,24383.4,1291.258,2023-03-14 12:10:00,24364.418349271597,24324.629699542984,24279.70594110146,24182.53680555557,,30.083007442353846,28.607257337619988,1.4757501047338586,47.40647058823379
1678767300000,24383.3,24394.5,24363.2,24374.6,1220.912,2023-03-14 12:15:00,24366.963761953695,24328.47356880891,24283.42727674454,24185.18595306515,,29.605132841781597,28.80683243845231,0.7983004033292858,46.73058823529209
1678767600000,24374.7,24387.5,24356.0,24384.7,637.711,2023-03-14 12:20:00,24371.39782146527,24332.798678900534,24287.398756087892,24187.937870953905,,29.699047239148058,28.98527539859146,0.7137718405565963,44.03176470588369
1678767900000,24384.7,24439.8,24368.0,24424.7,2380.298,2023-03-14 12:25:00,24384.72336609895,24339.8680112928,24292.78311859425,24191.203555492473,,32.62505940529809,29.713232199932786,2.9118272053653023,51.741764705882815
