TimeStamp,Open,High,Low,Close,Volume,DataTime
1574640000000,6899.77,7386.29,6510.19,7102.03,333987.914,2019-11-25 08:00:00
1574726400000,7103.34,7340.06,7011.90,7150,193962.094,2019-11-26 08:00:00
1574812800000,7149.97,7669.20,6850,7506.77,297842.994,2019-11-27 08:00:00
1574899200000,7506.78,7643,7356,7415.79,175000.609,2019-11-28 08:00:00
1574985600000,7417,7850,7394.57,7736.66,185819.186,2019-11-29 08:00:00
1575072000000,7737.23,7800,7444.18,7542.93,141966.392,2019-11-30 08:00:00
1575158400000,7541.08,7541.08,7222.29,7387.38,196291.252,2019-12-01 08:00:00
1575244800000,7388,7416.75,7137.74,7291,143966.953,2019-12-02 08:00:00
1575331200000,7291.74,7404.42,7231.35,7290.86,84699.470,2019-12-03 08:00:00
1575417600000,7290.85,7800,7070,7191,274879.481,2019-12-04 08:00:00
1575504000000,7189.42,7480,7142.54,7384.99,176315.108,2019-12-05 08:00:00
1575590400000,7384.66,7602.44,7295.73,7522.10,136218.707,2019-12-06 08:00:00
1575676800000,7521.13,7616.91,7467.44,7487.20,83208.782,2019-12-07 08:00:00
1575763200000,7487.19,7559.39,7376,7508.20,84380.338,2019-12-08 08:00:00
1575849600000,7507.87,7676.48,7269.05,7337.49,136440.176,2019-12-09 08:00:00
1575936000000,7338.20,7403.71,7152,7220.98,126662.794,2019-12-10 08:00:00
1576022400000,7220.92,7267,7117.74,7205.77,97320.727,2019-12-11 08:00:00
1576108800000,7206.78,7295.12,7080,7194.77,140594.105,2019-12-12 08:00:00
1576195200000,7194.08,7298,7190,7252.98,80178.833,2019-12-13 08:00:00
1576281600000,7252.98,7266.14,7007.86,7061.34,97837.512,2019-12-14 08:00:00
1576368000000,7060.79,7196,7004.77,7115,87933.233,2019-12-15 08:00:00
1576454400000,7115.45,7147.34,6831,6887.54,117597.890,2019-12-16 08:00:00
1576540800000,6887.48,6940,6550,6618.96,166411.289,2019-12-17 08:00:00
1576627200000,6618.96,7479.99,6427,7277.44,328489.593,2019-12-18 08:00:00
1576713600000,7278.11,7367.87,7042.82,7146.29,158849.566,2019-12-19 08:00:00
1576800000000,7146.29,7217.08,7078.17,7184.39,86449.566,2019-12-20 08:00:00
1576886400000,7184.39,7185,7108,7131.01,44340.865,2019-12-21 08:00:00
1576972800000,7131.02,7517.61,7122,7502.92,129797.395,2019-12-22 08:00:00
1577059200000,7502.92,7691,7262,7314.01,215298.787,2019-12-23 08:00:00
1577145600000,7314.03,7434.55,7156.08,7252.04,149081.004,2019-12-24 08:00:00
1577232000000,7251.57,7267.63,7123.19,7201.45,96965.072,2019-12-25 08:00:00
1577318400000,7201.67,7438.80,7151,7197.46,133973.533,2019-12-26 08:00:00
1577404800000,7197.84,7270,7078.89,7248.40,112284.610,2019-12-27 08:00:00
1577491200000,7248.40,7359.15,7235,7311.48,91292.882,2019-12-28 08:00:00
1577577600000,7310.29,7527,7283.60,7383.67,102543.974,2019-12-29 08:00:00
1577664000000,7383.68,7400,7215.58,7240.43,94375.362,2019-12-30 08:00:00
1577750400000,7240.80,7319,7141,7189,89203.437,2019-12-31 08:00:00
1577836800000,7189.43,7260.43,7170.15,7197.57,56801.329,2020-01-01 08:00:00
1577923200000,7197.57,7209.59,6922.00,6962.04,115295.677,2020-01-02 08:00:00
1578009600000,6962.34,7407.28,6863.44,7341.72,208493.458,2020-01-03 08:00:00
